eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum,session_id,text
text-insert,user,2021-08-20 10:54:16.397,"{'ops': [{'retain': 2752}, {'insert': 't'}]}",,,2753,[],0,1.0,5,30,0.2,1,0,0.5,2290,024f6a5d399545ceb4e9482fe575aa51,
text-insert,user,2021-08-16 16:57:19.503,"{'ops': [{'retain': 3044}, {'insert': 'h'}]}",,,3045,[],4,4.0,5,30,0.75,1,0,1.0,2428,2d9358657a364ccab47e9a7538cb6650,
text-insert,user,2021-08-18 11:22:24.991,"{'ops': [{'retain': 1253}, {'insert': 'u'}]}",,,1254,[],0,3.0,5,30,0.75,1,0,1.0,916,642f60be7fc54530a6b80ad4bd7fb6d9,
text-insert,user,2021-09-01 14:45:10.235,"{'ops': [{'retain': 2312}, {'insert': 'p'}]}",,,2313,[],0,0.0,5,30,0.2,1,0,0.5,1749,3f08232e93af452cb4f47c0bc22a6980,
text-insert,user,2021-08-29 17:48:10.212,"{'ops': [{'retain': 492}, {'insert': 'k'}]}",,,493,[],0,0.0,5,30,0.3,1,0,0.0,239,b95bdefc91d94744b375b7bcabc19d5f,
text-insert,user,2021-08-30 19:32:16.539,"{'ops': [{'retain': 1702}, {'insert': 'n'}]}",,,1703,[],0,0.0,5,30,0.2,1,0,0.5,1206,0f44162d5cef4e95bc4400529003a066,
text-insert,user,2021-09-01 10:39:14.162,"{'ops': [{'retain': 750}, {'insert': ' '}]}",,,751,[],0,3.0,5,30,0.9,1,0,0.5,607,78c9d9452b684824a388ee3ce7081f99,
text-insert,user,2021-09-03 11:52:37.414,"{'ops': [{'retain': 539}, {'insert': 's'}]}",,,540,[],0,4.0,5,30,0.9,1,0,0.5,232,6407201731724a1d8bf49ed97d7a7f4c,
text-insert,user,2021-09-01 10:03:45.746,"{'ops': [{'retain': 1621}, {'insert': 't'}]}",,,1622,[],3,3.0,5,30,0.2,1,0,0.5,1731,1d6b400514a04f3fab52502ea74b2d2d,
text-insert,user,2021-08-16 01:13:07.192,"{'ops': [{'retain': 793}, {'insert': 'h'}]}",,,794,[],0,1.0,5,30,0.3,1,0,0.0,597,050118bfac954920a524e7070132690b,
text-insert,user,2021-08-17 06:07:12.559,"{'ops': [{'retain': 2853}, {'insert': 't'}]}",,,2854,[],0,3.0,5,30,0.3,1,0,0.0,1920,242eb23d0a2a46a789be2b41a665873d,
text-insert,user,2021-08-24 05:39:27.275,"{'ops': [{'retain': 823}, {'insert': 'i'}]}",,,824,[],0,0.0,5,30,0.3,1,0,0.0,558,6861c7f0f19645ffb563275d11fad363,
text-insert,user,2021-09-03 15:46:51.558,"{'ops': [{'retain': 1636}, {'insert': 't'}]}",,,1637,[],0,0.0,5,30,0.75,1,0,1.0,1322,c793fab594334531a25d19557c0f5ee0,
text-insert,user,2021-08-24 20:14:55.592,"{'ops': [{'retain': 241}, {'insert': ' '}]}",,,242,[],4,4.0,5,30,0.3,1,0,0.0,99,b21c00d7e32543f8a6e1b55574044733,
text-insert,user,2021-08-18 10:03:20.618,"{'ops': [{'retain': 1763}, {'insert': ' '}]}",,,1764,[],0,1.0,5,30,0.75,1,0,1.0,1456,dcf08dcc251f48109e68b46ffc0561d6,
